file,sheet,rows,cols,first columns
All_Country_Data.xlsx,EPU,525,26,"Year, Month, GEPU_current, GEPU_ppp, Australia, Brazil, Canada, Chile"
All_Daily_AIEU_Data.csv,-,4267,6,"day, month, year, daily_ai_index, daily_aie_index, daily_aieu_index"
All_Daily_Policy_Data.csv,-,15223,4,"day, month, year, daily_policy_index"
All_Daily_TPU_Data.csv,-,15223,4,"day, month, year, daily_tpu_index"
All_Infectious_EMV_Data.csv,-,15223,4,"day, month, year, daily_infect_emv_index"
Australia_Policy_Uncertainty_Data.xlsx,Australia EPU Index,345,3,"year, month, Australia News-Based EPU"
Categorical_EPU_Data.xlsx,Indices,501,14,"Year, Month, 1. Economic Policy Uncertainty, 2. Monetary policy, Fiscal Policy (Taxes OR Spending), 3. Taxes, 4. Government spending, 5. Health care"
Croatia_EPU.xlsx,Croatian EPU index,279,2,"Source: Sorić, P. and Lolić, I. (2017) Economic uncertainty and its impact on the Croatian economy, Public Sector Economics, 41(4): 443-477. Data available at http://www.policyuncertainty.com/croatia_monthly.html. These data can be used freely with attribution to the authors and website., Unnamed: 1"
Debt_Ceiling_Shutdown_Data.xlsx,Sheet1,489,6,"Month, Year, DebtCeiling Relative Freq, GovernmentShutdown Relative Freq, Ratio: EPU w/DebtCeiling to wo/DebtCeiling, Ratio: EPU w/GovtShutdown to wo/GovtShutdown"
Debt_Ceiling_Shutdown_Data.xlsx,Sheet2,0,0,
Debt_Ceiling_Shutdown_Data.xlsx,Sheet3,0,0,
Denmark_monthly.csv,-,371,3,"Source: U. Michael Bergman and Camilla Hu Worm (2021), ""Economic Policy Uncertainty and Consumer Perceptions: The Danish Case"". Data available at http://www.policyuncertainty.com/denmark_monthly.html. These data can be used freely with attribution to the authors and website., Unnamed: 1, Unnamed: 2"
EMV_Data.xlsx,EMV Index,500,47,"Year, Month, Overall EMV Tracker, Policy-Related EMV Tracker, Infectious Disease EMV Tracker, Macroeconomic News and Outlook EMV Tracker, Macro – Broad Quantity Indicators EMV Tracker, Macro – Inflation EMV Indicator"
EPU_Belgium_data.xlsx,Sheet1,302,5,"date, EPU Belgium, EPU Belgium (Dutch language), EPU Belgium (French language), When using one of the indices, please cite as follows:"
ESGUI_Indexes.xlsx,Notes- Methodolgy,8,4,"Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3"
ESGUI_Indexes.xlsx,Monthly-ESGUI,286,59,"Citeation: Ongan, Serdar, Gocer, Ismet, and Isik, Cem. (2025). Introducing the New ESG-Based Sustainability Uncertainty Index (ESGUI). Sustainable Development, 33(3), 4457-4467.https://doi.org/10.1002/sd.3351, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7"
ESGUI_Indexes.xlsx,Quarterly-ESGUI,105,59,"Citeation: Ongan, Serdar, Gocer, Ismet, and Isik, Cem. (2025). Introducing the New ESG-Based Sustainability Uncertainty Index (ESGUI). Sustainable Development, 33(3), 4457-4467.https://doi.org/10.1002/sd.3351, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7"
ESGUI_Indexes.xlsx,Yearly-ESGUI,34,59,"Citeation: Ongan, Serdar, Gocer, Ismet, and Isik, Cem. (2025). Introducing the New ESG-Based Sustainability Uncertainty Index (ESGUI). Sustainable Development, 33(3), 4457-4467.https://doi.org/10.1002/sd.3351, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7"
Energy-Related Uncertainty Indexes.xlsx,Country-Level EUI Indexes,8295,3,"Source: Dang, T. H.-N., Nguyen, C. P., Lee, G. S., Nguyen, B. Q., & Le, T. T. (2023). Measuring the energy-related uncertainty index. Energy Economics, 124, 106817. https://doi.org/https://doi.org/10.1016/j.eneco.2023.106817 , Unnamed: 1, Unnamed: 2"
Energy-Related Uncertainty Indexes.xlsx,Global Average EUI Indexes,337,3,"Source: Dang, T. H.-N., Nguyen, C. P., Lee, G. S., Nguyen, B. Q., & Le, T. T. (2023). Measuring the energy-related uncertainty index. Energy Economics, 124, 106817. https://doi.org/https://doi.org/10.1016/j.eneco.2023.106817 , Unnamed: 1, Unnamed: 2"
Europe_Policy_Uncertainty_Data.xlsx,European News-Based Index,477,8,"Year, Month, European_News_Index, Germany_News_Index, Italy_News_Index, UK_News_Index, France_News_Index, Spain_News_Index"
Europe_Policy_Uncertainty_Data.xlsx,Old EPU and Forecast Data,477,10,"Year, Month, European_EPU_Index, European_CPI_Index, European_Budget_Balance_Index, France_EPU_Index, Germany_EPU_Index, Italy_EPU_Index"
Europe_Policy_Uncertainty_Data_old.xlsx,European News-Based Index,225,8,"Year, Month, European_News_Index, Germany_News_Index, Italy_News_Index, UK_News_Index, France_News_Index, Spain_News_Index"
