file,sheet,rows,cols,date range,first columns
data_gpr_daily_recent.dta,-,15219,9,19850101 to 20260901,"DAY, N10D, GPRD, GPRD_ACT, GPRD_THREAT, date, GPRD_MA30, GPRD_MA7"
data_gpr_daily_recent.xls,Sheet1,15219,11,1970-01-01 to 1970-01-01,"DAY, N10D, GPRD, GPRD_ACT, GPRD_THREAT, date, GPRD_MA30, GPRD_MA7"
data_gpr_export.dta,-,1520,113,1900-01-01 to 2026-08-01,"month, GPR, GPRT, GPRA, GPRH, GPRHT, GPRHA, SHARE_GPR"
data_gpr_export.xls,Sheet1,1520,115,1900-01-01 to 2026-08-01,"month, GPR, GPRT, GPRA, GPRH, GPRHT, GPRHA, SHARE_GPR"
data_gpr_recent_daily.dta,-,13563,5,19850101 to 20220218,"DAY, N10D, GPRD, GPRD_ACT, GPRD_THREAT"
gpr_beta.dta,-,1452,62,1900-01-01 to 2020-12-01,"month, GPRNARR, GPRH, GPR, GPRHT, GPRT, GPRHA, GPRA"
gpr_daily_latest.xlsx,Sheet1,12853,14,1970-01-01 to 1970-01-01,"DATE, DAY_NUMBERS, N11D, GPRD_RAW, GPRD_THREAT_RAW, GPRD_ACT_RAW, GPRD_SHARE, GPRD_THREAT_SHARE"
gpr_recent_daily_data.dta,-,13179,5,19850101 to 20211231,"DAY, N10D, GPRD, GPRD_ACT, GPRD_THREAT"
gpr_web_latest.xlsx,IMPORTANT,10,1,,"""November 15, 2021"""
gpr_web_latest.xlsx,GPR,445,13,1985-01-01 to 2021-09-01,"Date, GPR, GPR_THREAT, GPR_ACT, GPR_BROAD, GPR_NARROW, Unnamed: 6, n11"
gpr_web_latest.xlsx,GPR_HISTORICAL,1473,14,,"Year, Month, GPRH, GPRHT, GPRHA, Unnamed: 5, N3H_SW3, GPRH_RAW"
gpr_web_latest.xlsx,GPR_COUNTRIES,440,20,1985-01-01 to 2021-08-01,"Date, GPR_TURKEY, GPR_MEXICO, GPR_KOREA, GPR_RUSSIA, GPR_INDIA, GPR_BRAZIL, GPR_CHINA"
gpr_web_latest.xlsx,GPR_WORDS,419,7,1985-01-01 to 2019-11-01,"Date, Geopolitical Threats, Nuclear Threats, War Threats, Terrorist Threats, War Acts, Terrorist Acts"
vintages/gpr_web_20190131.xlsx,GPR,415,13,1985-01-01 to 2019-01-01,"Date, GPR, GPR_THREAT, GPR_ACT, GPR_BROAD, GPR_NARROW, Unnamed: 6, n11_all"
vintages/gpr_web_20190131.xlsx,GPR_HISTORICAL,1441,10,,"Year, Month, GPRH, GPRHT, GPRHA, Unnamed: 5, N3H_SW3, GPRH_RAW"
vintages/gpr_web_20190131.xlsx,GPR_COUNTRIES,409,19,1985-01-01 to 2019-01-01,"Date, GPR_TURKEY, GPR_MEXICO, GPR_KOREA, GPR_RUSSIA, GPR_INDIA, GPR_BRAZIL, GPR_CHINA"
vintages/gpr_web_20201031.xlsx,GPR_HISTORICAL,1461,14,,"Year, Month, GPRH, GPRHT, GPRHA, Unnamed: 5, N3H_SW3, GPRH_RAW"
vintages/gpr_web_20201031.xlsx,GPR,432,13,1985-01-01 to 2020-09-01,"Date, GPR, GPR_THREAT, GPR_ACT, GPR_BROAD, GPR_NARROW, Unnamed: 6, n11"
vintages/gpr_web_20201031.xlsx,GPR_COUNTRIES,429,20,1985-01-01 to 2020-09-01,"Date, GPR_TURKEY, GPR_MEXICO, GPR_KOREA, GPR_RUSSIA, GPR_INDIA, GPR_BRAZIL, GPR_CHINA"
vintages/gpr_web_20201031.xlsx,GPR_WORDS,419,7,1985-01-01 to 2019-11-01,"Date, Geopolitical Threats, Nuclear Threats, War Threats, Terrorist Threats, War Acts, Terrorist Acts"
